"county","indicator","count"
"Monrovia","vit1a.1",30
"Grand Bassa","vit1a.1",11
"Monrovia","vit1a.2",1
"Grand Bassa","vit1a.2",3
"Monrovia","vit1a.3",4
"Grand Bassa","vit1a.3",0
"Monrovia","vit1a.4",0
"Grand Bassa","vit1a.4",0
"Monrovia","vit1a.5",5
"Grand Bassa","vit1a.5",1
"Monrovia","vit1a.6",1
"Grand Bassa","vit1a.6",6
"Monrovia","vit1a.7",11
"Grand Bassa","vit1a.7",1
"Monrovia","vit1a.8",5
"Grand Bassa","vit1a.8",12
"Monrovia","vit1a.9",0
"Grand Bassa","vit1a.9",1
"Monrovia","vit1a.10",2
"Grand Bassa","vit1a.10",14
"Monrovia","vit1a.11",1
"Grand Bassa","vit1a.11",4
